classId,courseId,courseName,credit,sessionsPerWeek,hoursPerSession,depart,teacherId,plannedSize,maxCapacity,startWeek,endWeek,requiredRoomType
C026,S008,线性代数,2,2,2,体育系,T027,98,116,1,16,PlayGround
C027,S009,概率统计,4,3,3,理学院,T028,79,99,1,8,Any
C028,S009,概率统计,4,3,3,理学院,T029,178,197,1,8,Any
C029,S009,概率统计,4,3,3,理学院,T030,109,145,1,8,Any
C030,S010,电路原理,1,2,1,经济管理学院,T031,23,36,9,16,Any
C031,S010,电路原理,1,2,1,经济管理学院,T032,32,42,9,16,Any
C032,S010,电路原理,1,2,1,经济管理学院,T033,86,125,9,16,Any
C033,S010,电路原理,1,2,1,经济管理学院,T034,180,191,9,16,Any
C034,S011,数字逻辑,3,3,2,外国语学院,T035,133,162,5,12,Any
C035,S011,数字逻辑,3,3,2,外国语学院,T036,83,114,5,12,Any
C036,S011,数字逻辑,3,3,2,外国语学院,T037,24,36,5,12,Any
C037,S012,软件工程,1,1,2,电气学院,T038,80,119,1,16,Any
C038,S012,软件工程,1,1,2,电气学院,T039,176,208,1,16,Any
C039,S012,软件工程,1,1,2,电气学院,T040,127,147,1,16,Any
C040,S013,数据库系统,2,2,2,人文学院,T041,26,41,1,16,Norm
C041,S013,数据库系统,2,2,2,人文学院,T042,51,68,1,16,Norm
C042,S013,数据库系统,2,2,2,人文学院,T043,36,75,1,16,Norm
C043,S013,数据库系统,2,2,2,人文学院,T044,111,122,1,16,Norm
C044,S014,编译原理,2,2,2,计算机学院,T045,39,71,1,16,Norm
C045,S014,编译原理,2,2,2,计算机学院,T046,161,199,1,16,Norm
C046,S014,编译原理,2,2,2,计算机学院,T047,34,63,1,16,Norm
C047,S015,离散数学,4,3,3,机械学院,T048,42,79,1,8,Lab
C048,S015,离散数学,4,3,3,机械学院,T049,52,69,1,8,Lab
C049,S015,离散数学,4,3,3,机械学院,T050,50,71,1,8,Lab
C050,S016,数值分析,1,2,1,体育系,T051,48,58,9,16,Lab
C051,S016,数值分析,1,2,1,体育系,T052,50,69,9,16,Lab
C052,S016,数值分析,1,2,1,体育系,T053,20,32,9,16,Lab
C053,S016,数值分析,1,2,1,体育系,T054,50,75,9,16,Lab
C054,S017,自动控制,3,3,2,理学院,T055,68,94,5,12,PlayGround
C055,S017,自动控制,3,3,2,理学院,T056,40,72,5,12,PlayGround
C056,S017,自动控制,3,3,2,理学院,T057,75,87,5,12,PlayGround
C057,S018,机械制图,1,1,2,经济管理学院,T058,107,133,1,16,Any
C058,S018,机械制图,1,1,2,经济管理学院,T059,142,174,1,16,Any
C059,S018,机械制图,1,1,2,经济管理学院,T060,85,110,1,16,Any
C060,S019,理论力学,2,2,2,外国语学院,T061,125,163,1,16,Any
C061,S019,理论力学,2,2,2,外国语学院,T062,173,188,1,16,Any
C062,S019,理论力学,2,2,2,外国语学院,T063,130,170,1,16,Any
C063,S019,理论力学,2,2,2,外国语学院,T064,129,163,1,16,Any
C064,S020,材料力学,2,2,2,电气学院,T065,57,91,1,16,Any
C065,S020,材料力学,2,2,2,电气学院,T066,58,79,1,16,Any
C066,S020,材料力学,2,2,2,电气学院,T067,77,111,1,16,Any
C067,S021,工程热力学,4,3,3,人文学院,T068,154,178,1,8,Any
C068,S021,工程热力学,4,3,3,人文学院,T069,99,134,1,8,Any
C069,S021,工程热力学,4,3,3,人文学院,T070,43,73,1,8,Any
C070,S022,大学化学,1,2,1,计算机学院,T071,108,123,9,16,Norm
C071,S022,大学化学,1,2,1,计算机学院,T072,174,211,9,16,Norm
C072,S022,大学化学,1,2,1,计算机学院,T073,175,213,9,16,Norm
C073,S022,大学化学,1,2,1,计算机学院,T074,85,114,9,16,Norm
C074,S023,物理实验,3,3,2,机械学院,T075,41,65,5,12,Norm
C075,S023,物理实验,3,3,2,机械学院,T076,140,174,5,12,Norm
C076,S023,物理实验,3,3,2,机械学院,T077,98,132,5,12,Norm
C077,S024,体育,1,1,2,体育系,T078,50,81,1,16,Lab
C078,S024,体育,1,1,2,体育系,T079,44,81,1,16,Lab
C079,S024,体育,1,1,2,体育系,T080,30,49,1,16,Lab
C080,S025,高等数学,2,2,2,理学院,T081,24,44,1,16,Lab
C081,S025,高等数学,2,2,2,理学院,T082,46,58,1,16,Lab
C082,S025,高等数学,2,2,2,理学院,T083,36,53,1,16,Lab
C083,S025,高等数学,2,2,2,理学院,T084,42,66,1,16,Lab
C084,S026,大学物理,2,2,2,经济管理学院,T085,53,66,1,16,PlayGround
C085,S026,大学物理,2,2,2,经济管理学院,T086,85,125,1,16,PlayGround
C086,S026,大学物理,2,2,2,经济管理学院,T087,55,94,1,16,PlayGround
C087,S027,程序设计基础,4,3,3,外国语学院,T088,91,120,1,8,Any
C088,S027,程序设计基础,4,3,3,外国语学院,T089,50,65,1,8,Any
C089,S027,程序设计基础,4,3,3,外国语学院,T090,81,97,1,8,Any
C090,S028,数据结构,1,2,1,电气学院,T091,106,143,9,16,Any
C091,S028,数据结构,1,2,1,电气学院,T092,48,74,9,16,Any
C092,S028,数据结构,1,2,1,电气学院,T093,69,82,9,16,Any
C093,S028,数据结构,1,2,1,电气学院,T094,127,160,9,16,Any
C094,S029,操作系统,3,3,2,人文学院,T095,25,41,5,12,Any
C095,S029,操作系统,3,3,2,人文学院,T096,148,170,5,12,Any
C096,S029,操作系统,3,3,2,人文学院,T097,154,177,5,12,Any
C097,S030,计算机网络,1,1,2,计算机学院,T098,66,105,1,16,Any
C098,S030,计算机网络,1,1,2,计算机学院,T099,73,104,1,16,Any
C099,S030,计算机网络,1,1,2,计算机学院,T100,71,84,1,16,Any
C100,S031,大学英语,2,2,2,机械学院,T001,48,85,1,16,Norm
C101,S031,大学英语,2,2,2,机械学院,T002,159,188,1,16,Norm
C102,S031,大学英语,2,2,2,机械学院,T003,41,54,1,16,Norm
C103,S031,大学英语,2,2,2,机械学院,T004,161,173,1,16,Norm
C104,S032,线性代数,2,2,2,体育系,T005,58,86,1,16,Norm
C105,S032,线性代数,2,2,2,体育系,T006,168,191,1,16,Norm
C106,S032,线性代数,2,2,2,体育系,T007,173,207,1,16,Norm
C107,S033,概率统计,4,3,3,理学院,T008,22,58,1,8,Lab
C108,S033,概率统计,4,3,3,理学院,T009,48,84,1,8,Lab
C109,S033,概率统计,4,3,3,理学院,T010,26,40,1,8,Lab
C110,S034,电路原理,1,2,1,经济管理学院,T011,44,72,9,16,Lab
C111,S034,电路原理,1,2,1,经济管理学院,T012,50,75,9,16,Lab
C112,S034,电路原理,1,2,1,经济管理学院,T013,24,51,9,16,Lab
C113,S034,电路原理,1,2,1,经济管理学院,T014,42,78,9,16,Lab
C114,S035,数字逻辑,3,3,2,外国语学院,T015,136,157,5,12,PlayGround
C115,S035,数字逻辑,3,3,2,外国语学院,T016,148,182,5,12,PlayGround
C116,S035,数字逻辑,3,3,2,外国语学院,T017,96,131,5,12,PlayGround
C117,S036,软件工程,1,1,2,电气学院,T018,20,60,1,16,Any
C118,S036,软件工程,1,1,2,电气学院,T019,53,88,1,16,Any
C119,S036,软件工程,1,1,2,电气学院,T020,125,162,1,16,Any
C120,S037,数据库系统,2,2,2,人文学院,T021,75,101,1,16,Any
C121,S037,数据库系统,2,2,2,人文学院,T022,112,122,1,16,Any
C122,S037,数据库系统,2,2,2,人文学院,T023,145,180,1,16,Any
C123,S037,数据库系统,2,2,2,人文学院,T024,25,39,1,16,Any
C124,S038,编译原理,2,2,2,计算机学院,T025,159,187,1,16,Any
C125,S038,编译原理,2,2,2,计算机学院,T026,34,47,1,16,Any
C126,S038,编译原理,2,2,2,计算机学院,T027,114,150,1,16,Any
C127,S039,离散数学,4,3,3,机械学院,T028,58,80,1,8,Any
C128,S039,离散数学,4,3,3,机械学院,T029,55,75,1,8,Any
C129,S039,离散数学,4,3,3,机械学院,T030,179,195,1,8,Any
C130,S040,数值分析,1,2,1,体育系,T031,97,117,9,16,Norm
C131,S040,数值分析,1,2,1,体育系,T032,77,87,9,16,Norm
C132,S040,数值分析,1,2,1,体育系,T033,165,195,9,16,Norm
C133,S040,数值分析,1,2,1,体育系,T034,154,194,9,16,Norm
C134,S041,自动控制,3,3,2,理学院,T035,84,102,5,12,Norm
C135,S041,自动控制,3,3,2,理学院,T036,82,92,5,12,Norm
C136,S041,自动控制,3,3,2,理学院,T037,103,127,5,12,Norm
C137,S042,机械制图,1,1,2,经济管理学院,T038,38,75,1,16,Lab
C138,S042,机械制图,1,1,2,经济管理学院,T039,20,50,1,16,Lab
C139,S042,机械制图,1,1,2,经济管理学院,T040,42,61,1,16,Lab
C140,S043,理论力学,2,2,2,外国语学院,T041,44,57,1,16,Lab
C141,S043,理论力学,2,2,2,外国语学院,T042,26,42,1,16,Lab
C142,S043,理论力学,2,2,2,外国语学院,T043,24,47,1,16,Lab
C143,S043,理论力学,2,2,2,外国语学院,T044,54,73,1,16,Lab
C144,S044,材料力学,2,2,2,电气学院,T045,131,171,1,16,PlayGround
C145,S044,材料力学,2,2,2,电气学院,T046,86,116,1,16,PlayGround
C146,S044,材料力学,2,2,2,电气学院,T047,43,78,1,16,PlayGround
C147,S045,工程热力学,4,3,3,人文学院,T048,173,185,1,8,Any
C148,S045,工程热力学,4,3,3,人文学院,T049,84,98,1,8,Any
C149,S045,工程热力学,4,3,3,人文学院,T050,120,133,1,8,Any
C150,S046,大学化学,1,2,1,计算机学院,T051,148,175,9,16,Any
C151,S046,大学化学,1,2,1,计算机学院,T052,168,180,9,16,Any
C152,S046,大学化学,1,2,1,计算机学院,T053,30,67,9,16,Any
C153,S046,大学化学,1,2,1,计算机学院,T054,49,77,9,16,Any
C154,S047,物理实验,3,3,2,机械学院,T055,149,186,5,12,Any
C155,S047,物理实验,3,3,2,机械学院,T056,133,166,5,12,Any
C156,S047,物理实验,3,3,2,机械学院,T057,120,160,5,12,Any
C157,S048,体育,1,1,2,体育系,T058,179,209,1,16,Any
C158,S048,体育,1,1,2,体育系,T059,139,149,1,16,Any
C159,S048,体育,1,1,2,体育系,T060,170,181,1,16,Any
C160,S049,高等数学,2,2,2,理学院,T061,142,182,1,16,Norm
C161,S049,高等数学,2,2,2,理学院,T062,71,95,1,16,Norm
C162,S049,高等数学,2,2,2,理学院,T063,145,178,1,16,Norm
C163,S049,高等数学,2,2,2,理学院,T064,33,57,1,16,Norm
C164,S050,大学物理,2,2,2,经济管理学院,T065,40,71,1,16,Norm
C165,S050,大学物理,2,2,2,经济管理学院,T066,177,189,1,16,Norm
C166,S050,大学物理,2,2,2,经济管理学院,T067,165,194,1,16,Norm
C167,S051,程序设计基础,4,3,3,外国语学院,T068,50,87,1,8,Lab
C168,S051,程序设计基础,4,3,3,外国语学院,T069,24,63,1,8,Lab
C169,S051,程序设计基础,4,3,3,外国语学院,T070,38,49,1,8,Lab
C170,S052,数据结构,1,2,1,电气学院,T071,24,60,9,16,Lab
C171,S052,数据结构,1,2,1,电气学院,T072,22,39,9,16,Lab
C172,S052,数据结构,1,2,1,电气学院,T073,24,56,9,16,Lab
C173,S052,数据结构,1,2,1,电气学院,T074,42,78,9,16,Lab
C174,S053,操作系统,3,3,2,人文学院,T075,98,136,5,12,PlayGround
C175,S053,操作系统,3,3,2,人文学院,T076,144,176,5,12,PlayGround
C176,S053,操作系统,3,3,2,人文学院,T077,109,138,5,12,PlayGround
C177,S054,计算机网络,1,1,2,计算机学院,T078,82,99,1,16,Any
C178,S054,计算机网络,1,1,2,计算机学院,T079,91,104,1,16,Any
C179,S054,计算机网络,1,1,2,计算机学院,T080,53,70,1,16,Any
C180,S055,大学英语,2,2,2,机械学院,T081,98,136,1,16,Any
C181,S055,大学英语,2,2,2,机械学院,T082,78,94,1,16,Any
C182,S055,大学英语,2,2,2,机械学院,T083,162,187,1,16,Any
C183,S055,大学英语,2,2,2,机械学院,T084,124,163,1,16,Any
C184,S056,线性代数,2,2,2,体育系,T085,51,61,1,16,Any
C185,S056,线性代数,2,2,2,体育系,T086,84,113,1,16,Any
C186,S056,线性代数,2,2,2,体育系,T087,69,83,1,16,Any
C187,S057,概率统计,4,3,3,理学院,T088,27,66,1,8,Any
C188,S057,概率统计,4,3,3,理学院,T089,60,98,1,8,Any
C189,S057,概率统计,4,3,3,理学院,T090,142,180,1,8,Any
C190,S058,电路原理,1,2,1,经济管理学院,T091,63,96,9,16,Norm
C191,S058,电路原理,1,2,1,经济管理学院,T092,131,168,9,16,Norm
C192,S058,电路原理,1,2,1,经济管理学院,T093,133,143,9,16,Norm
C193,S058,电路原理,1,2,1,经济管理学院,T094,79,93,9,16,Norm
C194,S059,数字逻辑,3,3,2,外国语学院,T095,72,105,5,12,Norm
C195,S059,数字逻辑,3,3,2,外国语学院,T096,21,55,5,12,Norm
C196,S059,数字逻辑,3,3,2,外国语学院,T097,128,145,5,12,Norm
C197,S060,软件工程,1,1,2,电气学院,T098,26,39,1,16,Lab
C198,S060,软件工程,1,1,2,电气学院,T099,32,72,1,16,Lab
C199,S060,软件工程,1,1,2,电气学院,T100,50,88,1,16,Lab
